date,status,country,dates,l.elecViolence2,regimetenure,pcgdp,growth,logIMR,lnpop2,SPI,lexconst,lpolity2,lpolcomp,political_violence,gov_democracy,gov_interim,dem_duration,pred_vio
2020-11-08,Confirmed,Myanmar,2015-11-08,1.0,57.0,1147.3398439999999,0.899669707,3.6763007639999996,117.93130719999999,-0.49871891100000004,1.0,2.0,1.0,-0.12417738099999999,0.0,0.0,0.0,0.4159619541875023
2020-11-03,Confirmed,United States of America,2018-11-06,0.0,23.0,61687.41016,1.0368443729999999,1.7227666380000002,161.3532,0.30273865,7.0,8.0,7.0,0.064228773,1.0,0.0,5.440973758999999,0.0004680874995957834
2020-11-03,Confirmed,Palau,,,,,,,,,,,,,,,,
2020-11-03,Date not confirmed,Palau,,,,,,,,,,,,,,,,
2020-11-03,Confirmed,Guam,,,,,,,,,,,,,,,,
2020-11-03,Confirmed,Puerto Rico,,,,,,,,,,,,,,,,
2020-11-01,Date not confirmed,Moldova,2019-02-24,0.0,38.0,3398.8701171875,1.05629765987396,6.36990118026733,67.5628509521484,0.12506333180811302,7.0,9.0,9.0,-0.35001334547996504,1.0,0.0,3.38439035415649,0.02989366548635987
2020-10-31,Date not confirmed,Galicia,,,,,,,,,,,,,,,,
2020-10-31,Date not confirmed,Côte d'Ivoire,,,,,,,,,,,,,,,,
2020-10-31,Date not confirmed,Basque Country,,,,,,,,,,,,,,,,
2020-10-31,Confirmed,Georgia,2018-10-28,0.0,60.0,4528.910156,1.0983675720000001,2.360854149,68.18787621,-0.118029464,6.0,7.0,8.0,-0.36005827799999995,1.0,0.0,2.756840467,0.08163825376995744
2020-10-25,Confirmed,Chile,2017-12-17,0.0,46.0,14314.75,1.054415822,1.945910096,96.60135783,0.017158003999999998,7.0,10.0,10.0,-0.287782192,0.0,0.0,0.0,0.039201708420184146
2020-10-22,Confirmed,Seychelles,,,,,,,,,,,,,,,,
2020-10-18,Postponed,Bolivia,2019-10-20,0.0,166.0,3822.92993164062,1.03837978839874,7.71423101425171,87.58631134033199,-0.256516156873174,6.0,7.0,7.0,-0.354188084602356,1.0,0.0,3.63758611679077,0.06251911055512117
2020-10-18,Confirmed,Guinea,2015-10-11,1.0,59.0,709.8579712000001,0.97267735,4.110873699,89.00874166,-0.512185288,4.0,4.0,7.0,-0.36005827799999995,1.0,0.0,1.7635885480000002,0.14155460281930682
2020-10-17,Confirmed,New Zealand,2017-09-23,0.0,10.0,41629.32813,1.087554336,1.54756248,72.47895517,0.615479454,7.0,10.0,10.0,-0.36005827799999995,1.0,0.0,4.706522465,0.0016339755224318558
2020-10-17,Postponed,New Zealand,2017-09-23,0.0,10.0,41629.32813,1.087554336,1.54756248,72.47895517,0.615479454,7.0,10.0,10.0,-0.36005827799999995,1.0,0.0,4.706522465,0.0016339755224318558
2020-10-11,Confirmed,Tajikistan,2015-03-01,0.0,269.0,926.8770142000001,0.832594097,3.650658131,82.16342872,-0.5622157560000001,3.0,-3.0,6.0,-0.35701221200000005,0.0,0.0,0.0,0.4192378288515292
2020-10-11,Postponed,Northern Cyprus,,,,,,,,,,,,,,,,
2020-10-11,Date not confirmed,Lithuania,2019-05-26,0.0,119.0,19748.939453125,1.0316307544708299,1.3862943649291999,63.654415130615206,-2.4454492569475,7.0,10.0,10.0,-0.35995325446128795,1.0,0.0,3.40949606895447,0.024050406547007838
2020-10-04,Confirmed,New Caledonia,,,,,,,,,,,,,,,,
2020-10-04,Confirmed,Kyrgyz Republic,2017-10-15,0.0,71.0,1139.569946,1.062288404,2.944438934,76.69884548,0.7688061970000001,7.0,8.0,7.0,-0.35701221200000005,0.0,0.0,0.0,0.12820751660512275
2020-09-24,Confirmed,Falkland Islands (Malvinas),,,,,,,,,,,,,,,,
